t, r_OP_x, r_OP_y, r_OP_z, ex_B_x, ex_B_y, ex_B_z, ey_B_x, ey_B_y, ey_B_z, ez_B_x, ez_B_y, ez_B_z
0.000000000000000000e+00, 6.283185307179586232e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
1.000000000000000056e-01, 6.106562154926187702e+00, -1.478458157329226585e+00, 0.000000000000000000e+00, 9.633000253272110402e-01, -2.684270128071961636e-01, 0.000000000000000000e+00, 2.684270128071961636e-01, 9.633000253272110402e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
2.000000000000000111e-01, 5.690301601278719978e+00, -2.676977173309315283e+00, 0.000000000000000000e+00, 8.781136723299827196e-01, -4.784520649627835853e-01, 0.000000000000000000e+00, 4.784520649627835853e-01, 8.781136723299827196e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
3.000000000000000444e-01, 5.211580726946626108e+00, -3.553628094596097409e+00, 0.000000000000000000e+00, 7.827967342707341514e-01, -6.222774885973890724e-01, 0.000000000000000000e+00, 6.222774885973890724e-01, 7.827967342707341514e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
4.000000000000000222e-01, 4.762751752142123429e+00, -4.188644576944197340e+00, 0.000000000000000000e+00, 6.966187760555970776e-01, -7.174414825243951022e-01, 0.000000000000000000e+00, 7.174414825243951022e-01, 6.966187760555970776e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
5.000000000000000000e-01, 4.370189699438554953e+00, -4.663044062755691499e+00, 0.000000000000000000e+00, 6.244600674195164292e-01, -7.810567355822578550e-01, 0.000000000000000000e+00, 7.810567355822578550e-01, 6.244600674195164292e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
6.000000000000000888e-01, 4.034088386035985074e+00, -5.032466832338072571e+00, 0.000000000000000000e+00, 5.657347465856392699e-01, -8.245872885908941408e-01, 0.000000000000000000e+00, 8.245872885908941408e-01, 5.657347465856392699e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
7.000000000000000666e-01, 3.747212382133023212e+00, -5.332074808383866937e+00, 0.000000000000000000e+00, 5.184685247688847198e-01, -8.550967131406694843e-01, 0.000000000000000000e+00, 8.550967131406694843e-01, 5.184685247688847198e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
8.000000000000000444e-01, 3.501414441345374939e+00, -5.584005056976802273e+00, 0.000000000000000000e+00, 4.806527352501108741e-01, -8.769110263285476714e-01, 0.000000000000000000e+00, 8.769110263285476714e-01, 4.806527352501108741e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
9.000000000000000222e-01, 3.289522553394142790e+00, -5.802493857315619508e+00, 0.000000000000000000e+00, 4.505991571001355389e-01, -8.927263856415622589e-01, 0.000000000000000000e+00, 8.927263856415622589e-01, 4.505991571001355389e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
1.000000000000000000e+00, 3.105687672190829751e+00, -5.996964480784551021e+00, 0.000000000000000000e+00, 4.269778770413287239e-01, -9.042620707058767193e-01, 0.000000000000000000e+00, 9.042620707058767193e-01, 4.269778770413287239e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
