x, y
1.995716434437469467e-21,0.000000000000000000e+00
1.015336782480522407e-02,4.110120301065215385e-04
2.013771718703443250e-02,1.644048120426086154e-03
2.995304808668761837e-02,3.699108270958694281e-03
3.959936052376478166e-02,6.576192481704344617e-03
4.907624194091705222e-02,1.027515090350559351e-02
5.820298812939943278e-02,1.473034811985477616e-02
6.683066218584612916e-02,1.988768724084728073e-02
7.495926411025710667e-02,2.574716826648310031e-02
8.258879390263242082e-02,3.230879119676224875e-02
8.971819512666819041e-02,3.957115697709048807e-02
9.622280555555640102e-02,4.736917353281003273e-02
1.020170516044473508e-01,5.558951446970775145e-02
1.071009332733410674e-01,6.423217978778365811e-02
1.114744505622375093e-01,7.329716948703773882e-02
1.151375277308720191e-01,8.278098244398812700e-02
1.180859400642153001e-01,9.248832954727079225e-02
1.203172553906733944e-01,1.023067827097861315e-01
1.218314737102462741e-01,1.122363419315342004e-01
1.226285950229339533e-01,1.222770072125149710e-01
1.227115739168142816e-01,1.324246342123033826e-01
1.221779138906451956e-01,1.425424567622026184e-01
1.210748897484681674e-01,1.525641634589602891e-01
1.194025014902832665e-01,1.624897543025763669e-01
1.171607491160904235e-01,1.723192292930509351e-01
1.143558730966875853e-01,1.820505952918783921e-01
1.111251667356087380e-01,1.916400023110248485e-01
1.075247960376287115e-01,2.010695115393907884e-01
1.035547610027474918e-01,2.103391229769763227e-01
9.921506163096512065e-02,2.194488366237813126e-01
9.451401900839535852e-02,2.284006282794424081e-01
8.958292421963659491e-02,2.372256723451960370e-01
8.446708248338791192e-02,2.459347263151260843e-01
7.916649379964926792e-02,2.545277901892324945e-01
7.368115816842069066e-02,2.630048639675152122e-01
6.802081830472149482e-02,2.713719246659492823e-01
6.230119633758258307e-02,2.796999661514921742e-01
5.655589591250455295e-02,2.880096037788554275e-01
5.078491702948741138e-02,2.963008375480389311e-01
4.498825968853116530e-02,3.045736674590427406e-01
3.917827182916255868e-02,3.128364818709511441e-01
3.346917444226582550e-02,3.211668748377699001e-01
2.788875148475176285e-02,3.295837209099324872e-01
2.243700295662037422e-02,3.380870200874389608e-01
1.711392885787166307e-02,3.466767723702894322e-01
1.193726476386519283e-02,3.553598505205435298e-01
7.037950389031048110e-03,3.641869953505620927e-01
2.442480754568188660e-03,3.731684740195875816e-01
-1.849144139523360795e-03,3.823042865276196633e-01
-5.836924293243596351e-03,3.915944328746584491e-01
-9.495967143077571615e-03,4.010362392001095011e-01
-1.267691378257918000e-02,4.106136619617262729e-01
-1.535487047310532538e-02,4.203240271726865207e-01
-1.752983721465605979e-02,4.301673348329905222e-01
-1.920181400723134160e-02,4.401435849426379998e-01
-2.034414200179408133e-02,4.502288663488426268e-01
-2.082506597636532217e-02,4.603050036855648175e-01
-2.062673898848111156e-02,4.703559894737330827e-01
-1.974916103814144258e-02,4.803818237133475333e-01
-1.819233212534635685e-02,4.903825064044082249e-01
-1.594615509961314417e-02,5.003063750178442515e-01
-1.296911839415212930e-02,5.099410337366649948e-01
-9.256734121711251290e-03,5.192635200818992436e-01
-4.809002282290435540e-03,5.282738340535467758e-01
3.740771241102242711e-04,5.369719756516079245e-01
6.262120626318614519e-03,5.452926069428503109e-01
1.275049122107181632e-02,5.530107119804785754e-01
1.983037890545877660e-02,5.601073453524062495e-01
2.750178367947964109e-02,5.665825070586332224e-01
3.576470554313425365e-02,5.724361970991596049e-01
4.454342839297964485e-02,5.776253008138116929e-01
5.361852385124313974e-02,5.820248701464966201e-01
6.297608378430220866e-02,5.856269854549255305e-01
7.261610819215702506e-02,5.884316467390982019e-01
8.253859707480740160e-02,5.904388539990149676e-01
9.265186740629210993e-02,5.916580139743219391e-01
1.027317983904946358e-01,5.921121216082633198e-01
1.127682020627028825e-01,5.918022221928171955e-01
1.227610784229169749e-01,5.907283157279833441e-01
1.327104274711367327e-01,5.888904022137619876e-01
1.425514770764788053e-01,5.863472292927731644e-01
1.521506304190539394e-01,5.832199678779228513e-01
1.615038387628978112e-01,5.795122901302195428e-01
1.706111021080106982e-01,5.752241960496634610e-01
1.794724204543923785e-01,5.703556856362546057e-01
1.880729879350708789e-01,5.649854994860263879e-01
1.963870855056470410e-01,5.592504166804863619e-01
2.044142520112006700e-01,5.531528897348008122e-01
2.121544874517318213e-01,5.466929186489690728e-01
2.196077918272403562e-01,5.398705034229918098e-01
2.268051510115698666e-01,5.327578425821410946e-01
2.337917066352946383e-01,5.254601182223720413e-01
2.405678413303665997e-01,5.179782218939046334e-01
2.471335550967857508e-01,5.103121535967390932e-01
2.534888479345519530e-01,5.024619133308749763e-01
2.596945863866176873e-01,4.944858846351056769e-01
2.658246227145464324e-01,4.864549070243567863e-01
2.718791256033241677e-01,4.783691423022389255e-01
2.778580950529508375e-01,4.702285904687519280e-01
2.837615310634264421e-01,4.620332515238961824e-01
