alpha, Pa2/EI, u/a, v/a
30, 24.75, 0.0113, 0.0693
40, 18.87, 0.0266, 0.1260
50, 15.42, 0.0515, 0.2038
60, 13.21, 0.0881, 0.3061
70, 11.74, 0.1384, 0.4386
80, 10.78, 0.2038, 0.6074
90, 10.27, 0.2869, 0.8178
95, 10.23, 0.3375, 0.9410
100, 10.42, 0.3995, 1.0802
102.5, 10.71, 0.4398, 1.1599
105, 11.47, 0.5097, 1.2580
105.3125, 11.05, 0.5649, 1.2228
105.625, 10.60, 0.5761, 1.2013
106.25, 9.94, 0.5907, 1.1739
107.5, 8.97, 0.6116, 1.1372
110, 7.58, 0.6438, 1.0866
115, 5.72, 0.6940, 1.0136
120, 4.47,0.7340, 0.0554
130, 2.86, 0.7994, 0.8714

